id,trigger,conditions,script,text,options,notes
#RULESET_NAME Krysan test,,,,,,
,,,,,,
# default entity interaction,,,,,,
#defaultOpenDialog,OpenInteractionDialog,,"ShowDefaultVisual
PrintDescription 3
SetShortcut defaultLeave ""ESCAPE""",,defaultLeave:Leave,
#defaultLeave,DialogOptionSelected,$option == defaultLeave,DismissDialog,,,
,,,,,,
# warning beacons,,,,,,
#beaconOpenDialog,OpenInteractionDialog,$tag:warning_beacon,"ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""",An autonomous warning beacon has been left emitting a distorted wail between official channels. Whatever message it was meant to convey has been corrupted.,beaconLeave:Leave,
#END warning beacons,,,,,,
,,,,,,
#MARKET INTERACTIONS TEXT,,,,,,
rebelrats_rattusInteractionText,MarketPostOpen,"$hasMarket
$market.id == rattus_market
$player.transponderOn
!$faction.isNeutralFaction","$tradeMode = OPEN 0
FireBest MarketPostDock","Passing through the shuttle's doors, Port 11 brimmed with activity as people from all walks of life went about their daily routine, unbothered by the eclectic set of shuttles coming in and out of the island spaceport. Climbing up the elevator tothe massive accoustic walls, employees from the menagerie of pop-up shops and market stalls perched up along the wall next to the tram station bombarded the crew with various offers and deals.

Taking a tram to the mainland, children can be seen dashing their way around spacers in the wide spaces of the tram hub, some tailing along with their parents, others rushing in groups to the stalls at the end of the concourse, attracted by the smell of fresh bread, melted cheese, and grilled meat mingling together and wafting in the air.

Beyond the menial food vendors of the concourse, a large hallway gave way to a number of wide-ranging shops in the bazaar who sold more niche items such as cyberware, or even the occasional starship parts; peering closer into nearby conversations, Persean wares seems to be all the madness for the guileless inhabitants.

With such a warm atmosphere, Krysa is almost like a home away from home.",,
rebelrats_malusInteractionText,MarketPostOpen,"$hasMarket
$market.id == malus_market
!$player.transponderOn","$tradeMode = OPEN 0
FireBest MarketPostDock","The rolling airlock of New Eden Cove roars to life with a menagerie of thumps and clunks, having seen better days with faded warning signs and burnt out bulbs.

Passing the shoddy airlock, the grungy yellow-lit hallways of New Eden Cove gave way to loose crowds of immigrants and undesirables huddling around eclectic makeshift shanties, occasionally lit by the blare of exterior sunlight coming from the transparent dome above. Looking down from the windows, processions of railcars, maintenance drones, and elevators of all manner snake down the underground caverns, marked by a procession of lights as their evidence of existence.

Passing by the droves of arrivals, an overbuilt security checkpoint manned by armed guards marked the end of the hallway, leading up to a platform of elevators which led to the underground portion of New Eden Cove.",,
rebelrats_nutriaInteractionText,MarketPostOpen,"$hasMarket
$market.id == nutria_market
$player.transponderOn
!$faction.isNeutralFaction","$tradeMode = OPEN 0
FireBest MarketPostDock","Stepping off of the shuttle, a cold breeze filled the air, almost burning one's lungs. Plumes of steam from geysers and manholes alike emit a subtle smell of sulfur as one made their way through the neon-filled promenade which offered a comprehensive view of the medley of ships and shuttles making their way to port and from orbit.

The familiar sight of hab blocks and commercial skyscrapers marked the skies while a carnival of huge holo-ads, fly overs, and city lights illuminated the streets below. Most prominent was the cast mechant's bazaars that propped themselves along Spalax City's huge avenues like they were walls of separation.

While taking in the view, an ad-drone then greets you and your crew with the latest personalized deals as you made your way to the trams.",,
rebelrats_magawaInteractionText,MarketPostOpen,"$hasMarket
$market.id == magawa_market
$player.transponderOn
!$faction.isNeutralFaction","$tradeMode = OPEN 0
FireBest MarketPostDock","Massive emplacements, others operational, others clearly decommissioned, announced themselves with steadfast disposition, tenders can be seen dutifully servicing presumably would be tunnels that meandered their way across the pock marked surface. In the distance, massive ground level wharfs offered a comprehensive view of the planet's extensive garrison of frigates, destroyers, cruisers, and capital ships.

Stepping off of the elevator, the concourse was surprisingly pristine, almost daintily organized and maintained, in contrast to the harsh exterior of Magawa. Pass the checkpoints, hospitality drones offered drinks to your crew while concierge staff with spiffy clean uniforms personally welcomed you to Magawa.

Despite rough initial impressions, one gets a feeling that a stay at Magawa may not be as bad as the pock marked exterior may show.",,
rebelrats_rodentiaInteractionText,MarketPostOpen,"$hasMarket
$market.id == rodentia_market
$player.transponderOn
!$faction.isNeutralFaction","$tradeMode = OPEN 0
FireBest MarketPostDock","The airlock to the massive station silently hummed open, directing the way through the quiet perpendicular hallway filled with the familiar hum of airscrubbers and occasional clicking of refrigeration units, all illuminated by harsh sterile white light. The monotony of the spotless hallways would be occasionally broken up by shadows of passing ships from the windows.",,
rebelrats_outerstationInteractionText,MarketPostOpen,"$hasMarket
$market.id == outerstation_market
$player.transponderOn
!$faction.isNeutralFaction","$tradeMode = OPEN 0
FireBest MarketPostDock","Having avoided the busier docks of the station, the mood of the smaller docks were of somber silence and carefree taps as miners and the occasional soldier silently made their way through the station's cramped halls. Piercing through the dark halls, below the strips of holo-ads, glimmers of illumination highlighted the disgraced locals, merchants, and workers that sat in the open bars, minding their own business.",,
rebelrats_tikusInteractionText,MarketPostOpen,"$hasMarket
$market.id == tikus_market
$player.transponderOn
!$faction.isNeutralFaction","$tradeMode = OPEN 0
FireBest MarketPostDock","Teams of miners, robots, and soldiers busied themselves across the concourse of Lobby 6 with mining ships and mobile refineries making up most of the wharf's population. You and your officers are greeted by a pair of concierge staff to guide you through the station.",,
